,Time,Average Demand,Peak,Off Peak
0,2020-06-01 00:00:00,1009.5,0.0,1009.5
0,2020-05-10 00:00:00,888.5,0.0,888.5
0,2020-07-27 00:00:00,1470.0,0.0,1470.0
0,2020-05-09 00:00:00,902.5,0.0,902.5
0,2020-07-28 00:00:00,1584.0,0.0,1584.0
0,2020-05-08 00:00:00,1023.0,0.0,1023.0
0,2020-07-29 00:00:00,1415.5,0.0,1415.5
0,2020-07-26 00:00:00,1388.0,0.0,1388.0
0,2020-07-30 00:00:00,1250.5,0.0,1250.5
0,2020-07-31 00:00:00,1253.5,0.0,1253.5
0,2020-05-06 00:00:00,1069.5,0.0,1069.5
0,2020-09-01 00:00:00,1691.5,0.0,1691.5
0,2020-05-05 00:00:00,1024.0,0.0,1024.0
0,2020-09-02 00:00:00,1814.0,0.0,1814.0
0,2020-05-04 00:00:00,1104.5,0.0,1104.5
0,2020-05-07 00:00:00,1104.5,0.0,1104.5
0,2020-09-03 00:00:00,1828.91,0.0,1828.91
0,2020-07-25 00:00:00,1366.0,0.0,1366.0
0,2020-07-24 00:00:00,1414.36,0.0,1414.36
0,2020-05-18 00:00:00,1055.5,0.0,1055.5
0,2020-07-17 00:00:00,1161.0,0.0,1161.0
0,2020-05-17 00:00:00,1052.0,0.0,1052.0
0,2020-07-18 00:00:00,1097.5,0.0,1097.5
0,2020-05-16 00:00:00,1031.0,0.0,1031.0
0,2020-07-19 00:00:00,1210.5,0.0,1210.5
0,2020-05-11 00:00:00,972.0,0.0,972.0
0,2020-05-15 00:00:00,1190.5,0.0,1190.5
0,2020-07-21 00:00:00,1271.5,0.0,1271.5
0,2020-05-14 00:00:00,1083.82,0.0,1083.82
0,2020-07-22 00:00:00,1228.0,0.0,1228.0
0,2020-05-13 00:00:00,910.5,0.0,910.5
0,2020-07-23 00:00:00,1136.0,0.0,1136.0
0,2020-05-12 00:00:00,881.5,0.0,881.5
0,2020-07-20 00:00:00,1311.0,0.0,1311.0
0,2020-09-04 00:00:00,1864.5,0.0,1864.5
0,2020-05-03 00:00:00,1114.36,0.0,1114.36
0,2020-09-05 00:00:00,1799.5,0.0,1799.5
0,2020-09-16 00:00:00,1700.0,0.0,1700.0
0,2020-04-23 00:00:00,899.0,0.0,899.0
0,2020-09-17 00:00:00,1947.0,0.0,1947.0
0,2020-09-18 00:00:00,1696.5,0.0,1696.5
0,2020-04-22 00:00:00,920.5,0.0,920.5
0,2020-09-19 00:00:00,1590.5,0.0,1590.5
0,2020-04-24 00:00:00,938.5,0.0,938.5
0,2020-04-21 00:00:00,929.45,0.0,929.45
0,2020-04-20 00:00:00,1059.0,0.0,1059.0
0,2020-09-21 00:00:00,1519.0,0.0,1519.0
0,2020-04-19 00:00:00,931.0,0.0,931.0
0,2020-09-22 00:00:00,1515.5,0.0,1515.5
0,2020-09-23 00:00:00,1550.5,0.0,1550.5
0,2020-04-18 00:00:00,964.5,0.0,964.5
0,2020-09-20 00:00:00,1515.5,0.0,1515.5
0,2020-09-15 00:00:00,1642.5,0.0,1642.5
0,2020-04-25 00:00:00,1034.5,0.0,1034.5
0,2020-09-14 00:00:00,1994.18,0.0,1994.18
0,2020-05-02 00:00:00,1052.0,0.0,1052.0
0,2020-09-06 00:00:00,1657.0,0.0,1657.0
0,2020-05-01 00:00:00,1125.5,0.0,1125.5
0,2020-09-07 00:00:00,1639.5,0.0,1639.5
0,2020-04-30 00:00:00,1087.0,0.0,1087.0
0,2020-09-08 00:00:00,1802.5,0.0,1802.5
0,2020-09-09 00:00:00,1951.5,0.0,1951.5
0,2020-04-29 00:00:00,991.0,0.0,991.0
0,2020-09-10 00:00:00,1890.0,0.0,1890.0
0,2020-04-28 00:00:00,987.0,0.0,987.0
0,2020-09-11 00:00:00,1965.5,0.0,1965.5
0,2020-04-27 00:00:00,1010.0,0.0,1010.0
0,2020-09-12 00:00:00,1638.5,0.0,1638.5
0,2020-09-13 00:00:00,1897.5,0.0,1897.5
0,2020-04-26 00:00:00,1034.5,0.0,1034.5
0,2020-07-16 00:00:00,1191.0,0.0,1191.0
0,2020-07-15 00:00:00,1169.5,0.0,1169.5
0,2020-05-19 00:00:00,1006.5,0.0,1006.5
0,2020-07-14 00:00:00,1186.36,0.0,1186.36
0,2020-02-11 00:00:00,1561.5,0.0,1561.5
0,2020-06-26 00:00:00,979.5,0.0,979.5
0,2020-02-10 00:00:00,1484.0,0.0,1484.0
